Peptide_Family,Species
Esculentin,Amolops sp. 'jingdongensis'
Esculentin,Amolops sp. 'jingdongensis'
Esculentin,Amolops sp. 'jingdongensis'
Esculentin,Amolops sp. 'jingdongensis'
,Amolops sp. 'jingdongensis'
,Amolops sp. 'jingdongensis'
,
Palustrin,
Palustrin,
Brevinin,Amolops sp. 'jingdongensis'
Brevinin,Amolops sp. 'jingdongensis'
Brevinin,Amolops sp. 'jingdongensis'
Brevinin,Amolops sp. 'jingdongensis'
Brevinin,Amolops sp. 'jingdongensis'
Brevinin,Amolops sp. 'jingdongensis'
Brevinin,Amolops sp. 'jingdongensis'
Brevinin,Amolops sp. 'jingdongensis'
Brevinin,Amolops sp. 'jingdongensis'
Brevinin,Amolops sp. 'jingdongensis'
Odorranain,Amolops sp. 'jingdongensis'
Esculentin,Amolops sp. 'jingdongensis'
Esculentin,Amolops sp. 'jingdongensis'
Esculentin,Amolops sp. 'jingdongensis'
Esculentin,Amolops sp. 'jingdongensis'
Temporin,Amolops sp. 'jingdongensis'
Temporin,Amolops sp. 'jingdongensis'
Temporin,Amolops sp. 'jingdongensis'
Temporin,Amolops sp. 'jingdongensis'
Temporin,Amolops sp. 'jingdongensis'
Temporin,Amolops sp. 'jingdongensis'
Temporin,Amolops sp. 'jingdongensis'
Temporin,Amolops sp. 'jingdongensis'
Temporin,Amolops sp. 'jingdongensis'
Temporin,Amolops sp. 'jingdongensis'
Temporin,Amolops sp. 'jingdongensis'
Amolopin,Amolops sp. 'jingdongensis'
,Amolops sp. 'jingdongensis'
,Amolops sp. 'jingdongensis'
,Amolops sp. 'jingdongensis'
,
,Amolops torrentis
,Amolops torrentis
,Amolops torrentis
Brevinin,Amolops torrentis
Brevinin,Amolops torrentis
Brevinin,Amolops torrentis
Brevinin,Amolops torrentis
Brevinin,Amolops torrentis
Brevinin,Amolops torrentis
Brevinin,Amolops torrentis
Brevinin,Amolops torrentis
Brevinin,Amolops torrentis
Brevinin,Amolops torrentis
Brevinin,Amolops torrentis
Temporin,Amolops torrentis
,Amolops torrentis
,Amolops torrentis
,Amolops torrentis
,Amolops viridimaculatus
,Amolops viridimaculatus
Brevinin,Amolops wuyiensis
Ranatuerin,Amolops wuyiensis
Brevinin,Amolops wuyiensis
Brevinin,Amolops wuyiensis
Brevinin,Amolops wuyiensis
Brevinin,Amolops wuyiensis
Brevinin,Amolops wuyiensis
Brevinin,Amolops wuyiensis
Brevinin,Amolops wuyiensis
Brevinin,Amolops wuyiensis
Brevinin,Amolops wuyiensis
Palustrin,Amolops wuyiensis
Temporin,Amolops wuyiensis
,Amolops wuyiensis
,Amolops wuyiensis
,Amolops wuyiensis
,Amolops wuyiensis
,Amolops wuyiensis
,Amolops wuyiensis
,Amolops wuyiensis
,
Ranatuerin,
Ranatuerin,
Ranatuerin,
Ranatuerin,
Ranatuerin,
Ranatuerin,
Ranatuerin,
Ranatuerin,
Ranatuerin,
Ranatuerin,Aquarana catesbeiana
,Aquarana catesbeiana
,Aquarana catesbeiana
,Aquarana catesbeiana
,Aquarana catesbeiana
,Aquarana catesbeiana
,Aquarana catesbeiana
,Aquarana catesbeiana
,Aquarana catesbeiana
,Aquarana catesbeiana
,Aquarana catesbeiana
,Aquarana catesbeiana
,Aquarana catesbeiana
,Aquarana catesbeiana
,Aquarana catesbeiana
Ranatuerin,Aquarana catesbeiana
Ranatuerin,Aquarana catesbeiana
Ranatuerin,Aquarana catesbeiana
Ranatuerin,Aquarana catesbeiana
Ranatuerin,Aquarana catesbeiana
Ranatuerin,Aquarana catesbeiana
Ranatuerin,Aquarana catesbeiana
Ranatuerin,Aquarana catesbeiana
Ranatuerin,Aquarana catesbeiana
Ranatuerin,Aquarana catesbeiana
Ranatuerin,Aquarana catesbeiana
Ranatuerin,Aquarana catesbeiana
Palustrin,Aquarana catesbeiana
Palustrin,Aquarana catesbeiana
Ranatuerin,Aquarana catesbeiana
Ranatuerin,Aquarana catesbeiana
Temporin,Aquarana catesbeiana
,Aquarana catesbeiana
Ranatuerin,Aquarana catesbeiana
,"Aquarana catesbeiana"""
Temporin,
Palustrin,Host defense
,
,
,
,
,
,
,
,
,Ascaphus truei
,Ascaphus truei
,Ascaphus truei
,Ascaphus truei
,Ascaphus truei
Brevinin,Babina adenopleura
Temporin,Babina adenopleura
,Babina adenopleura
,Babina adenopleura
,Bacteriophage sp.
,Bacteriophage sp.
,
,
,
,
,Boana picturata
,Boana picturata
,"Boana picturata"""
,"Boana picturata"""
,"Boana picturata"""
,"Boana picturata"""
,"Boana picturata"""
,"Boana picturata"""
,Boana picturata
,"Boana picturata"""
,Boana picturata
,Boana pulchella
,Boana pulchella
,
,
,
,
,
,
,
,
,
,
,
,
,Boana raniceps
,Boana raniceps
,Boana raniceps
,Boana raniceps
,Boana raniceps
,Boana raniceps
,Boana raniceps
,
,
,
,Bos taurus
Phylloseptin,Callimedusa baltea
Phylloseptin,Callimedusa duellmani
,Caudoviricetes sp.
,Caudoviricetes sp.
,Caudoviricetes sp.
,Caudoviricetes sp.
,Caudoviricetes sp.
,Caudoviricetes sp.
,Caudoviricetes sp.
,Caudoviricetes sp.
,Caudoviricetes sp.
,Caudoviricetes sp.
,Caudoviricetes sp.
,Caudoviricetes sp.
,Citrobacter braakii
,Citrobacter braakii
,Citrobacter braakii
,Citrobacter braakii
,Citrobacter braakii
,Citrobacter braakii
,Citrobacter braakii
,Citrobacter cronae
,Citrobacter cronae
,Citrobacter cronae
,Citrobacter cronae
,Citrobacter cronae
,Citrobacter cronae
,Citrobacter cronae
,Citrobacter cronae
,Citrobacter cronae
,Citrobacter meridianamericanus
,Citrobacter meridianamericanus
,Citrobacter meridianamericanus
,Citrobacter meridianamericanus
,Citrobacter meridianamericanus
,Citrobacter meridianamericanus
,Citrobacter meridianamericanus
,Citrobacter meridianamericanus
,Citrobacter meridianamericanus
,Citrobacter meridianamericanus
,Citrobacter meridianamericanus
,Citrobacter portucalensis
,Citrobacter portucalensis
,Citrobacter portucalensis
,Citrobacter portucalensis
,Citrobacter portucalensis
,Citrobacter portucalensis
,Citrobacter portucalensis
,Citrobacter portucalensis
,Citrobacter portucalensis
,Citrobacter portucalensis
,Citrobacter portucalensis
,Citrobacter portucalensis
,Citrobacter werkmanii
,Citrobacter werkmanii
,Corethrella appendiculata
,Cressvirus hydrothermal3476
,Cruziohyla calcarifer
,Cruziohyla calcarifer
,"Cruziohyla calcarifer"""
,"Cruziohyla calcarifer"""
,"Cruziohyla calcarifer"""
,Cruziohyla calcarifer
,Cruziohyla calcarifer
,Cruziohyla calcarifer
,"Cruziohyla calcarifer"""
,Cruziohyla calcarifer
,Cruziohyla calcarifer
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,Dendrobates tinctorius
,Dendrobates tinctorius
,Dendrobates tinctorius
,Dendrobates tinctorius
,
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
,Edwardsiella tarda
